plate name	BARCODE	Enzyme	SubmissionName	ProjectName	R1FileName	DateSubmitted	DateLoaded	DateReturned	AnalysisGroup	DateAnalysed	TasselOutput	SequencerChemistry
PeleGHPlate1	PstIAdapterPlate1	PstI	Pscabrum_GH1-4	SN877_0254_NAitken_RSB_GBS	Pscabrum_GH1_4_NoIndex_L001_R1_001.fastq.gz	22/08/2014		08/09/2014	Pscabrum_GH			
PeleGHPlate2	PstIAdapterPlate2	PstI	Pscabrum_GH1-4	SN877_0254_NAitken_RSB_GBS	Pscabrum_GH1_4_NoIndex_L001_R1_001.fastq.gz	22/08/2014		08/09/2014	Pscabrum_GH			
PeleGHPlate3	PstIAdapterPlate3	PstI	Pscabrum_GH1-4	SN877_0254_NAitken_RSB_GBS	Pscabrum_GH1_4_NoIndex_L001_R1_001.fastq.gz	22/08/2014		08/09/2014	Pscabrum_GH			
PeleGHPlate4	PstIAdapterPlate4	PstI	Pscabrum_GH1-4	SN877_0254_NAitken_RSB_GBS	Pscabrum_GH1_4_NoIndex_L001_R1_001.fastq.gz	22/08/2014		08/09/2014	Pscabrum_GH			
PeleGHPlate5	PstIAdapterPlate5	PstI	Pscabrum_GH5-8	SN877_0254_NAitken_RSB_GBS	Pscabrum_GH5_8_NoIndex_L002_R1_001.fastq.gz	22/08/2014		08/09/2014	Pscabrum_GH			
PeleGHPlate6	PstIAdapterPlate6	PstI	Pscabrum_GH5-8	SN877_0254_NAitken_RSB_GBS	Pscabrum_GH5_8_NoIndex_L002_R1_001.fastq.gz	22/08/2014		08/09/2014	Pscabrum_GH			
PeleGHPlate7	PstIAdapterPlate7	PstI	Pscabrum_GH5-8	SN877_0254_NAitken_RSB_GBS	Pscabrum_GH5_8_NoIndex_L002_R1_001.fastq.gz	22/08/2014		08/09/2014	Pscabrum_GH			
PeleGHPlate8	PstIAdapterPlate8	PstI	Pscabrum_GH5-8	SN877_0254_NAitken_RSB_GBS	Pscabrum_GH5_8_NoIndex_L002_R1_001.fastq.gz	22/08/2014		08/09/2014	Pscabrum_GH			
Pscabrum_SAf2012_Plate1	PstIAdapterPlate1	PstI	Pscabrum_SAf2012_1-4			05/11/2014			Pscabrum_SAf2012			
Pscabrum_SAf2012_Plate2	PstIAdapterPlate2	PstI	Pscabrum_SAf2012_1-4			05/11/2014			Pscabrum_SAf2012			
Pscabrum_SAf2012_Plate3	PstIAdapterPlate3	PstI	Pscabrum_SAf2012_1-4			05/11/2014			Pscabrum_SAf2012			
Pscabrum_SAf2012_Plate4	PstIAdapterPlate4	PstI	Pscabrum_SAf2012_1-4			05/11/2014			Pscabrum_SAf2012			
Pscabrum_SAf2012_Plate5	PstIAdapterPlate5	PstI	Pscabrum_SAf2012_5-8			25/11/2014			Pscabrum_SAf2012			
Pscabrum_SAf2012_Plate6	PstIAdapterPlate6	PstI	Pscabrum_SAf2012_5-8			25/11/2014			Pscabrum_SAf2012			
Pscabrum_SAf2012_Plate7	PstIAdapterPlate7	PstI	Pscabrum_SAf2012_5-8			25/11/2014			Pscabrum_SAf2012			
Pscabrum_SAf2012_Plate8	PstIAdapterPlate8	PstI	Pscabrum_SAf2012_5-8			25/11/2014			Pscabrum_SAf2012			
